Food,FDC ID,Calories (NotMass),Total fat (G),Saturated fat (G),Polyunsaturated fat (G),Monounsaturated fat (G),Total carb (G),Dietary fiber (G),Sugar (G),Total protein (G),Histidine (MG),Isoleucine (MG),Leucine (MG),Lysine (MG),Methionine (MG),Phenylalanine (MG),Threonine (MG),Tryptophan (MG),Valine (MG),Cholesterol (MG),Vitamin A (UG),Vitamin B1 Thiamin (MG),Vitamin B2 Riboflavin (MG),Vitamin B3 Niacin (MG),Vitamin B5 Pantothenic acid (MG),Vitamin B6 (MG),Vitamin B7 Biotin (UG),Vitamin B9 Folate (UG),Vitamin B12 (UG),Vitamin C (MG),Vitamin D (UG),Vitamin E (MG),Vitamin K (UG),Choline (MG),Na (MG),Mg (MG),P (MG),K (MG),Ca (MG),Cr (UG),Mn (MG),Fe (MG),Cu (UG),Zn (MG),Se (UG),Mo (UG),I (UG)
Spices; chili powder,171319,282,14.3,2.46,8.01,3.21,49.7,34.8,7.19,13.5,180,390,630,360,130,370,270,70,540,0,1480,0.25,0.94,11.6,0.888,2.09,0,28,0,0.7,0,38.1,106,66.5,2870,149,300,1950,330,0,1.7,17.3,1000,4.3,20.4,0,0
Oil; olive; salad or cooking,171413,884,100,13.8,10.5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,60.2,0.3,2,0,0,1,1,0,0,0.56,0,0,0,0,0
Apples; raw; with skin (Includes foods for USDA's Food Distribution Program),171688,52,0.17,0.028,0.051,0.007,13.8,2.4,10.4,0.26,5,6,13,12,1,6,6,1,12,0,3,0.017,0.026,0.091,0.061,0.041,0,3,0,4.6,0,0.18,2.2,3.4,1,5,11,107,6,0,0.035,0.12,27,0.04,0,0,0
Avocados; raw; all commercial varieties,171705,160,14.7,2.13,1.82,9.8,8.53,6.7,0.66,2,49,84,143,132,38,97,73,25,107,0,7,0.067,0.13,1.74,1.39,0.257,0,81,0,10,0,2.07,21,14.2,7,29,52,485,12,0,0.142,0.55,190,0.64,0.4,0,0
Blueberries; raw,171711,57,0.33,0.028,0.146,0.047,14.5,2.4,9.96,0.74,11,23,44,13,12,26,20,3,31,0,3,0.037,0.041,0.418,0.124,0.052,0,6,0,9.7,0,0.57,19.3,6,1,6,12,77,6,0,0.336,0.28,57,0.16,0.1,0,0
Basil; fresh,172232,23,0.64,0.041,0.389,0.088,2.65,1.6,0.3,3.15,51,104,191,110,36,130,104,39,127,0,264,0.034,0.076,0.902,0.209,0.155,0,68,0,18,0,0.8,415,11.4,4,64,56,295,177,0,1.15,3.17,385,0.81,0.3,0,0
Peanuts; all types; raw,172430,567,49.2,6.28,15.6,24.4,16.1,8.5,4.72,25.8,652,907,1670,926,317,1380,883,250,1080,0,0,0.64,0.135,12.1,1.77,0.348,0,240,0,0,0,8.33,0,52.5,18,168,376,705,92,0,1.93,4.58,1140,3.27,7.2,0,0
Soybeans; mature seeds; dry roasted,172441,449,21.6,3.13,12.2,4.78,29,8.1,0,43.3,1070,1920,3220,2630,534,2070,1720,575,1980,0,0,0.427,0.755,1.06,0.473,0.225,0,205,0,4.6,0,0,37,0,2,228,649,1360,140,0,2.18,3.95,1080,4.77,19.3,0,0
Tofu; raw; firm; prepared with calcium sulfate,172475,144,8.72,1.26,4.92,1.92,2.78,2.3,0,17.3,431,849,1390,883,211,835,785,235,870,0,0,0.158,0.102,0.381,0.133,0.092,0,29,0,0.2,0,0,0,0,14,58,190,237,683,0,1.18,2.66,378,1.57,17.4,0,0
Beans; black; mature seeds; raw,173734,341,1.42,0.366,0.61,0.123,62.4,15.5,2.12,21.6,601,954,1720,1480,325,1170,909,256,1130,0,0,0.9,0.193,1.96,0.899,0.286,0,444,0,0,0,0.21,5.6,66.4,5,171,352,1480,123,0,1.06,5.02,841,3.65,3.2,0,0
Beans; kidney; red; mature seeds; raw,173744,337,1.06,0.154,0.586,0.082,61.3,15.2,2.1,22.5,627,995,1800,1550,339,1220,948,267,1180,0,0,0.608,0.215,2.11,0.78,0.397,0,394,0,4.5,0,0.21,5.6,65.9,12,138,406,1360,83,0,1.11,6.69,699,2.79,3.2,0,0
Chickpeas (garbanzo beans; bengal gram); mature seeds; raw,173756,378,6.04,0.603,2.73,1.38,63,12.2,10.7,20.5,566,882,1460,1380,270,1100,766,200,865,0,3,0.477,0.212,1.54,1.59,0.535,0,557,0,4,0,0.82,9,99.3,24,79,252,718,57,0,21.3,4.31,656,2.76,0,0,0
Bananas; raw,173944,89,0.33,0.112,0.073,0.032,22.8,2.6,12.2,1.09,77,28,68,50,8,49,28,9,47,0,3,0.031,0.073,0.665,0.334,0.367,0,20,0,8.7,0,0.1,0.5,9.8,1,27,22,358,5,0,0.27,0.26,78,0.15,1,0,0
Blackberries; raw,173946,43,0.49,0.014,0.28,0.047,9.61,5.3,4.88,1.39,0,0,0,0,0,0,0,0,0,0,11,0.02,0.026,0.646,0.276,0.03,0,25,0,21,0,1.17,19.8,8.5,1,20,22,162,29,0,0.646,0.62,165,0.53,0.4,0,0
Soy sauce made from soy and wheat (shoyu),174277,53,0.57,0.073,0.263,0.088,4.93,0.8,0.4,8.14,174,318,537,381,97,353,271,96,332,0,0,0.033,0.165,2.2,0.297,0.148,0,14,0,0,0,0,0,18.3,5490,74,166,435,33,0,1.02,1.45,43,0.87,0.5,0,0
Sauce; ready-to-serve; pepper or hot,174527,11,0.37,0.052,0.196,0.03,1.75,0.3,1.26,0.51,10,17,27,23,6,16,19,7,22,0,8,0.036,0.082,0.254,0.11,0.157,0,6,0,74.8,0,0.12,2.4,0,2640,5,11,144,8,0,0.049,0.48,28,0.11,0,0,0
Grapes; red or green (European type; such as Thompson seedless); raw,174683,69,0.16,0.054,0.048,0.007,18.1,0.9,15.5,0.72,22,11,22,27,9,19,22,11,22,0,3,0.069,0.07,0.188,0.05,0.086,0,2,0,3.2,0,0.19,14.6,5.6,2,7,20,191,10,0,0.071,0.36,127,0.07,0.1,0,0
Beans; pinto; mature seeds; raw (Includes foods for USDA's Food Distribution Program),175199,347,1.23,0.235,0.407,0.229,62.6,15.5,2.11,21.4,556,871,1560,1360,259,1100,810,237,998,0,0,0.713,0.212,1.17,0.785,0.474,0,525,0,6.3,0,0.21,5.6,66.2,12,176,411,1390,113,0,1.15,5.07,893,2.28,27.9,0,0
